dataset,recording,location,id,width,TPlat,PAassym,fr,frLog,ratio10ms,ratio10msLog,amp,PTratio,RepSlope,RecSlope,Duration,BurstRatio,BurstRatioLog,DistFromGCtop,DistFromGCbot,ClusterDG,DistanceDG,ClusterCA13,DistanceCA13
1,4,molDG,345,0.17,0.5,1.19484067,2.60466872,0.41575249,0.00311526,-2.50650503,0.49845988,0.2555972,0.08063623,-0.0058354,0.66666667,0.04732608,-1.3248995,-54,,4,8.59147752470925,,0
1,4,DG,314,0.22666667,0.43333333,0.27259544,13.25082105,1.12224279,0.04573935,-1.33971003,0.42517459,0.43744215,0.05181055,-0.00705754,0.56666667,0.22033365,-0.65691917,23,,4,3.45394748377867,,0
1,4,DG,317,0.44666667,0.73333333,1.04956722,6.140725,0.78821965,0.05425003,-1.26559999,0.25074029,0.34951872,0.01505342,-0.00161489,1.13333333,0.28039821,-0.55222476,16,,4,12.580966441313,,0
1,4,DG,319,0.20333333,0.5,0.91225326,4.53855615,0.65691771,0.01793478,-1.74630388,0.31781864,0.4020426,0.04114559,-0.00560273,0.63333333,0.11230907,-0.94958515,11,,4,1.1924765189617,,0
1,5,CA1,270,0.40333333,0.76666667,-0.23132956,11.58621459,1.06394157,0.03424706,-1.46537667,0.37602973,0.12028553,0.022034,-0.00308771,1.03333333,0.22205373,-0.65354193,-62,,,0,2,12.5245042832507
1,5,CA1,272,0.27666667,0.76666667,0.8469696,9.59893538,0.98222307,0.03462794,-1.46057331,0.36052451,0.18507275,0.03552861,-0.00233484,0.96666667,0.29414103,-0.53144439,-63,,,0,1,4.84177069449134
1,5,CA1,278,0.27333333,0.83333333,0.43306413,6.64389984,0.82242308,0.094274,-1.02560805,0.33065534,0.19653226,0.03485531,-0.00295746,1.13333333,0.02721829,-1.56513915,-70,,,0,1,9.89340476106529
1,5,CA1,280,0.26333333,0.76666667,0.84401238,0.72892973,-0.13731433,0.02408257,-1.61829719,0.33353335,0.18664466,0.03394063,-0.00212656,0.96666667,2.04918033,0.31158018,-71,,,0,2,4.54677770250735
1,5,CA1,283,0.18333333,0.23333333,1.03579926,2.04313998,0.31029812,0.01857835,-1.73099281,0.56835419,0.91896647,0.10996879,-0.01626475,0.53333333,0.17277125,-0.76252852,-74,,,0,3,10.8695832815432
1,5,CA1,287,0.28666667,0.33333333,1.03057289,7.3261689,0.86487693,0.08829823,-1.05404799,0.25021127,0.23290922,0.04255095,-0.00098009,0.63333333,0.13830133,-0.85917363,-76,,,0,1,4.32644192098269
1,5,CA1,292,0.21666667,0.33333333,1.41892755,2.25533687,0.35321142,0.02964861,-1.52799568,0.48302862,0.17370185,0.0869721,-0.00196537,0.53333333,1.04657248,0.01976931,-78,,,0,1,6.49343316234105
1,5,CA1,294,0.32333333,0.43333333,1.07510865,5.46483259,0.73757686,0.003001,-2.52273396,0.27849346,0.47679552,0.01881193,-0.00097731,0.63333333,0.04714757,-1.32654067,-78,,,0,1,6.91812809942452
1,5,CA1,295,0.19,0.66666667,0.29791051,1.13928956,0.05663412,0.45936139,-0.33784551,0.2942917,0.20945041,0.04170734,-0.0018522,0.83333333,19.02654867,1.27936002,-75,,,0,2,2.44995954166696
1,5,CA1,297,0.22666667,0.3,1.04629624,29.3556314,1.46769143,0.17386664,-0.75978375,0.42656559,0.53663051,0.05672085,-0.00930305,0.53333333,0.22319901,-0.65130774,-82,,,0,3,3.73146103634201
1,5,CA1,413,0.22,0.4,1.16340923,5.84130881,0.76651017,0.05571347,-1.25403976,0.21468511,0.62157363,0.03014538,-0.00526913,0.6,0.46455867,-0.33295943,-75,,,0,1,4.67480816409916
